case_id,issue_type,expected_fault,ai_root_cause,confidence,human_decision,matches_expected,diagnosis_json
CASE-011,Routing,Static route uses the wrong next hop.,Static route uses the wrong next hop.,high,Accepted,True,"{""root_cause"":""Static route uses the wrong next hop."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""Routing"",""evidence"":[""show ip route: S 10.0.10.0/24 [1/0] via 172.16.21.1"",""show cdp neighbors: R1 on 172.16.12.1 link""],""next_command"":[""show ip route"",""show cdp neighbors"",""traceroute <destination>""],""fix_steps"":[""Replace the route with next hop 172.16.12.1."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-012,Routing,OSPF is not advertising the branch LAN.,OSPF is not advertising the branch LAN.,high,Accepted,True,"{""root_cause"":""OSPF is not advertising the branch LAN."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""Routing"",""evidence"":[""show ip ospf interface brief: Gi0/1 passive"",""show ip route ospf on R1: no 192.168.20.0/24""],""next_command"":[""show ip route"",""show cdp neighbors"",""traceroute <destination>""],""fix_steps"":[""Correct OSPF network statements/passive settings for the LAN."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-013,ACL,ACL blocks HTTP from VLAN 30.,ACL blocks HTTP from VLAN 30.,high,Accepted,True,"{""root_cause"":""ACL blocks HTTP from VLAN 30."",""confidence"":""high"",""osi_layer"":""4"",""concept_tag"":""ACL"",""evidence"":[""show access-lists: 10 deny tcp 192.168.30.0 0.0.0.255 host 10.0.10.20 eq 80"",""show ip interface gi0/0.30: inbound access list is 10""],""next_command"":[""show access-lists"",""show ip interface"",""show running-config | include access""],""fix_steps"":[""Modify ACL to permit required HTTP traffic."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-014,ACL,"ACL is missing needed permit statements, causing implicit deny.","ACL is missing needed permit statements, causing implicit deny.",high,Edited,False,"{""root_cause"":""ACL is missing needed permit statements, causing implicit deny."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""ACL"",""evidence"":[""show access-lists 101: permit ip 192.168.10.0 0.0.0.255 any"",""show ip interface gi0/0: outbound access list is 101""],""next_command"":[""show access-lists"",""show ip interface"",""show running-config | include access""],""fix_steps"":[""Add explicit permits for required subnets or remove the ACL."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-015,ACL,ACL exists but is not applied to the interface/direction.,ACL exists but is not applied to the interface/direction.,high,Accepted,True,"{""root_cause"":""ACL exists but is not applied to the interface/direction."",""confidence"":""high"",""osi_layer"":""4"",""concept_tag"":""ACL"",""evidence"":[""show access-lists GUEST-BLOCK: deny ip 192.168.99.0 0.0.0.255 10.0.10.0 0.0.0.255 permit ip any any"",""show ip interface gi0/1: outbound access list is not set; inbound access list is not set""],""next_command"":[""show access-lists"",""show ip interface"",""show running-config | include access""],""fix_steps"":[""Apply the ACL on the guest interface in the correct direction."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-016,NAT,NAT ACL does not match the inside subnet.,NAT ACL does not match the inside subnet.,high,Accepted,True,"{""root_cause"":""NAT ACL does not match the inside subnet."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""NAT"",""evidence"":[""show ip nat translations: empty"",""show run: ip nat inside source list 1 interface s0/0/0 overload; access-list 1 permit 192.168.1.0 0.0.0.255"",""inside LAN is 192.168.10.0/24""],""next_command"":[""show ip nat translations"",""show ip nat statistics"",""show running-config | include ip nat""],""fix_steps"":[""Change NAT ACL to permit 192.168.10.0/24."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-017,NAT,Inside NAT role missing on LAN interface.,Inside NAT role missing on LAN interface.,high,Accepted,True,"{""root_cause"":""Inside NAT role missing on LAN interface."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""NAT"",""evidence"":[""show run int gi0/0: no ip nat inside"",""show run int s0/0/0: ip nat outside""],""next_command"":[""show ip nat translations"",""show ip nat statistics"",""show running-config | include ip nat""],""fix_steps"":[""Configure ip nat inside on the LAN interface."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-018,NAT,Static NAT maps the public IP to the wrong private host.,Static NAT maps the public IP to the wrong private host.,high,Rejected,False,"{""root_cause"":""Static NAT maps the public IP to the wrong private host."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""NAT"",""evidence"":[""show ip nat translations: --- 203.0.113.50 192.168.10.5 --- ---"",""show arp: 192.168.10.50 reachable""],""next_command"":[""show ip nat translations"",""show ip nat statistics"",""show running-config | include ip nat""],""fix_steps"":[""Correct static NAT mapping to 192.168.10.50."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-019,Wireless,Client is using the wrong SSID.,Client is using the wrong SSID.,high,Accepted,True,"{""root_cause"":""Client is using the wrong SSID."",""confidence"":""high"",""osi_layer"":""2"",""concept_tag"":""Wireless"",""evidence"":[""client status: SSID CORP-NET not found"",""wlan summary: WLAN 1 SSID CORP enabled""],""next_command"":[""show wlan summary"",""show client detail"",""show ap summary""],""fix_steps"":[""Configure the client to join SSID CORP."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-020,Wireless,Incorrect wireless pre-shared key on client or WLAN.,Incorrect wireless pre-shared key on client or WLAN.,high,Accepted,True,"{""root_cause"":""Incorrect wireless pre-shared key on client or WLAN."",""confidence"":""high"",""osi_layer"":""2"",""concept_tag"":""Wireless"",""evidence"":[""client log: WPA authentication failed"",""WLC WLAN security: WPA2-PSK enabled""],""next_command"":[""show wlan summary"",""show client detail"",""show ap summary""],""fix_steps"":[""Set matching WPA2-PSK on the client and WLAN."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-021,Wireless,WLAN is mapped to the wrong VLAN/interface.,WLAN is mapped to the wrong VLAN/interface.,high,Edited,False,"{""root_cause"":""WLAN is mapped to the wrong VLAN/interface."",""confidence"":""high"",""osi_layer"":""2"",""concept_tag"":""Wireless"",""evidence"":[""show wlan summary: CORP interface guest_vlan"",""ipconfig: 192.168.99.18 gateway 192.168.99.1""],""next_command"":[""show wlan summary"",""show client detail"",""show ap summary""],""fix_steps"":[""Map CORP WLAN to the VLAN 20 interface."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-022,VLAN,Access VLAN does not exist on the switch.,Access VLAN does not exist on the switch.,high,Accepted,True,"{""root_cause"":""Access VLAN does not exist on the switch."",""confidence"":""high"",""osi_layer"":""2"",""concept_tag"":""VLAN"",""evidence"":[""show vlan brief: VLAN 70 not listed"",""show interfaces fa0/5 switchport: Access Mode VLAN: 70 inactive""],""next_command"":[""show vlan brief"",""show interfaces trunk"",""show interfaces switchport""],""fix_steps"":[""Create VLAN 70 and name it appropriately."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-023,Routing,WAN interface is shut down.,WAN interface is shut down.,high,Accepted,True,"{""root_cause"":""WAN interface is shut down."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""Routing"",""evidence"":[""show ip interface brief: Serial0/0/0 administratively down"",""show controllers serial0/0/0: DCE cable""],""next_command"":[""show ip route"",""show cdp neighbors"",""traceroute <destination>""],""fix_steps"":[""Issue no shutdown and configure clock rate if required."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-024,Gateway,Client subnet mask is too narrow.,Client subnet mask is too narrow.,medium,Accepted,True,"{""root_cause"":""Client subnet mask is too narrow."",""confidence"":""medium"",""osi_layer"":""3"",""concept_tag"":""Gateway"",""evidence"":[""ipconfig: IPv4 172.16.5.10 Mask 255.255.255.0 Gateway 172.16.4.1""],""next_command"":[""ipconfig /all"",""show ip interface brief"",""show running-config | section dhcp""],""fix_steps"":[""Set mask to 255.255.254.0."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-025,DHCP,DHCP pool is exhausted.,DHCP pool is exhausted.,medium,Accepted,True,"{""root_cause"":""DHCP pool is exhausted."",""confidence"":""medium"",""osi_layer"":""7"",""concept_tag"":""DHCP"",""evidence"":[""show ip dhcp pool LAB: Leased addresses 10; total addresses 10; excluded 192.168.80.1-192.168.80.244""],""next_command"":[""show ip dhcp binding"",""show ip dhcp pool"",""show running-config | section dhcp""],""fix_steps"":[""Increase the available address range or reduce exclusions."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-026,DNS,Clients use the router as DNS when it is not providing DNS service.,Clients use the router as DNS when it is not providing DNS service.,high,Accepted,True,"{""root_cause"":""Clients use the router as DNS when it is not providing DNS service."",""confidence"":""high"",""osi_layer"":""7"",""concept_tag"":""DNS"",""evidence"":[""ipconfig /all: Default Gateway 192.168.10.1 DNS Servers 192.168.10.1"",""show hosts on router: no DNS records""],""next_command"":[""nslookup example.com"",""show running-config | section dhcp"",""ping <dns-server>""],""fix_steps"":[""Set DHCP DNS option to the actual DNS server."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-027,ACL,Management ACL denies SSH from admin PC.,Management ACL denies SSH from admin PC.,high,Accepted,True,"{""root_cause"":""Management ACL denies SSH from admin PC."",""confidence"":""high"",""osi_layer"":""4"",""concept_tag"":""ACL"",""evidence"":[""show access-lists MGMT: deny tcp host 192.168.10.25 any eq 22 permit ip any any"",""show run line vty: access-class MGMT in""],""next_command"":[""show access-lists"",""show ip interface"",""show running-config | include access""],""fix_steps"":[""Permit the admin PC for SSH or correct the ACL order."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-028,NAT,Default route to ISP is missing.,Default route to ISP is missing.,high,Accepted,True,"{""root_cause"":""Default route to ISP is missing."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""NAT"",""evidence"":[""show ip nat translations: icmp 203.0.113.2:4 192.168.10.25:4 8.8.8.8:4 8.8.8.8:4"",""show ip route: Gateway of last resort is not set""],""next_command"":[""show ip nat translations"",""show ip nat statistics"",""show running-config | include ip nat""],""fix_steps"":[""Add a default route toward the ISP next hop."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-029,VLAN,Native VLAN mismatch on trunk.,Native VLAN mismatch on trunk.,high,Accepted,True,"{""root_cause"":""Native VLAN mismatch on trunk."",""confidence"":""high"",""osi_layer"":""2"",""concept_tag"":""VLAN"",""evidence"":[""show interfaces trunk: SW1 native vlan 99; SW2 native vlan 1"",""CDP-4-NATIVE_VLAN_MISMATCH on Gi0/1""],""next_command"":[""show vlan brief"",""show interfaces trunk"",""show interfaces switchport""],""fix_steps"":[""Set matching native VLAN on both trunk ends."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-030,Wireless,AP radios are disabled.,AP radios are disabled.,medium,Accepted,True,"{""root_cause"":""AP radios are disabled."",""confidence"":""medium"",""osi_layer"":""1"",""concept_tag"":""Wireless"",""evidence"":[""show ap summary: AP1 registered; Radio 2.4GHz Disabled Radio 5GHz Disabled""],""next_command"":[""show wlan summary"",""show client detail"",""show ap summary""],""fix_steps"":[""Enable required AP radios."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-031,Routing,Duplicate IP address on gateway interfaces.,Duplicate IP address on gateway interfaces.,high,Accepted,True,"{""root_cause"":""Duplicate IP address on gateway interfaces."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""Routing"",""evidence"":[""show ip interface brief: R1 Gi0/0 192.168.10.1 up/up; R2 Gi0/0 192.168.10.1 up/up"",""arp entries change between MAC addresses""],""next_command"":[""show ip route"",""show cdp neighbors"",""traceroute <destination>""],""fix_steps"":[""Assign unique IP addresses and update clients if needed."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-032,VLAN,Traffic expected on a blocked STP path due to wrong uplink assumption.,Traffic expected on a blocked STP path due to wrong uplink assumption.,high,Accepted,True,"{""root_cause"":""Traffic expected on a blocked STP path due to wrong uplink assumption."",""confidence"":""high"",""osi_layer"":""2"",""concept_tag"":""VLAN"",""evidence"":[""show spanning-tree vlan 10: Gi0/2 Altn BLK"",""intended uplink Gi0/1 forwarding""],""next_command"":[""show vlan brief"",""show interfaces trunk"",""show interfaces switchport""],""fix_steps"":[""Use the forwarding uplink or adjust STP priority/design intentionally."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
