case_id,issue_type,severity,osi_layer,concept_tag,symptom,topology_note,show_outputs,expected_fault,expected_fix
CASE-022,VLAN,Medium,2,VLAN not created,"New sales PCs in VLAN 70 are down at Layer 2.","SW2 was configured with access vlan 70 on ports.","show vlan brief: VLAN 70 not listed | show interfaces fa0/5 switchport: Access Mode VLAN: 70 inactive","Access VLAN does not exist on the switch.","Create VLAN 70 and name it appropriately."
CASE-023,Routing,High,3,Interface down,"Site-to-site routing failed after cable move.","WAN link between R1 and R2.","show ip interface brief: Serial0/0/0 administratively down | show controllers serial0/0/0: DCE cable","WAN interface is shut down.","Issue no shutdown and configure clock rate if required."
CASE-024,Gateway,Medium,3,Wrong subnet mask,"PC can reach some local hosts but not all hosts in the expected subnet.","LAN should be 172.16.4.0/23.","ipconfig: IPv4 172.16.5.10 Mask 255.255.255.0 Gateway 172.16.4.1","Client subnet mask is too narrow.","Set mask to 255.255.254.0."
CASE-025,DHCP,Low,7,Pool exhaustion,"Only the newest lab PCs fail to get DHCP addresses.","Small DHCP pool was created for 10 test devices.","show ip dhcp pool LAB: Leased addresses 10; total addresses 10; excluded 192.168.80.1-192.168.80.244","DHCP pool is exhausted.","Increase the available address range or reduce exclusions."
CASE-026,DNS,Medium,7,Gateway vs DNS confusion,"Browser fails by name, but pinging the web server IP works.","DHCP options were recently edited.","ipconfig /all: Default Gateway 192.168.10.1 DNS Servers 192.168.10.1 | show hosts on router: no DNS records","Clients use the router as DNS when it is not providing DNS service.","Set DHCP DNS option to the actual DNS server."
CASE-027,ACL,High,4,Port-specific deny,"SSH to switch management fails from admin PC; ping works.","Management ACL controls VTY access.","show access-lists MGMT: deny tcp host 192.168.10.25 any eq 22 permit ip any any | show run line vty: access-class MGMT in","Management ACL denies SSH from admin PC.","Permit the admin PC for SSH or correct the ACL order."
CASE-028,NAT,High,3,Default route missing,"Inside users have NAT translations but no internet response.","R1 connects to ISP on S0/0/0.","show ip nat translations: icmp 203.0.113.2:4 192.168.10.25:4 8.8.8.8:4 8.8.8.8:4 | show ip route: Gateway of last resort is not set","Default route to ISP is missing.","Add a default route toward the ISP next hop."
CASE-029,VLAN,High,2,Native VLAN mismatch,"Intermittent connectivity and CDP native VLAN warnings.","SW1 and SW2 trunk over Gi0/1.","show interfaces trunk: SW1 native vlan 99; SW2 native vlan 1 | CDP-4-NATIVE_VLAN_MISMATCH on Gi0/1","Native VLAN mismatch on trunk.","Set matching native VLAN on both trunk ends."
CASE-030,Wireless,Low,1,Radio disabled,"Wireless clients cannot see any SSIDs near AP1.","AP1 was powered but no clients associate.","show ap summary: AP1 registered; Radio 2.4GHz Disabled Radio 5GHz Disabled","AP radios are disabled.","Enable required AP radios."
CASE-031,Routing,Medium,3,Duplicate IP,"Gateway flaps and ARP table changes repeatedly.","Two router interfaces were copied from the same template.","show ip interface brief: R1 Gi0/0 192.168.10.1 up/up; R2 Gi0/0 192.168.10.1 up/up | arp entries change between MAC addresses","Duplicate IP address on gateway interfaces.","Assign unique IP addresses and update clients if needed."
CASE-032,VLAN,Medium,2,Spanning tree blocked,"One access switch loses VLAN 10 reachability through redundant links.","STP protects redundant topology.","show spanning-tree vlan 10: Gi0/2 Altn BLK | intended uplink Gi0/1 forwarding","Traffic expected on a blocked STP path due to wrong uplink assumption.","Use the forwarding uplink or adjust STP priority/design intentionally."
